ID,ID-Admin,Name,Address,Location,Price,Cuisine,Longitude,Latitude,delivery,online
MIC-000001,ADM-000001,ES:SENZ,"Mietenkamer Straße 65, Grassau, 83224, Germany","Grassau, Germany",€€€€,"Creative, Modern Cuisine",77614.56.00,130985.22.00,sì,sì
MIC-000002,ADM-000001,Tohru in der Schreiberei,"Burgstraße 5, Munich, 80331, Germany","Munich, Germany",€€€€,"Modern Cuisine, Japanese Contemporary",9635.35.00,2341.17.00,no,no
MIC-000003,ADM-000001,Schwarzwaldstube,"Tonbachstraße 237, Baiersbronn, 72270, Germany","Baiersbronn, Germany",€€€€,"Classic French, Creative",59721.23.00,89533.13.00,sì,sì
MIC-000004,ADM-000001,Victor's Fine Dining by christian bau,"Schlossstraße 27, Perl, 66706, Germany","Perl, Germany",€€€€,"Creative, Contemporary",64541.09.00,89244.32.00,no,no
MIC-000005,ADM-000001,Aqua,"Parkstraße 1, Wolfsburg, 38440, Germany","Wolfsburg, Germany",€€€€,"Creative, Modern Cuisine",131673.05.00,72193.34.00,sì,sì
MIC-000006,ADM-000001,schanz. restaurant.,"Bahnhofstraße 8a, Piesport, 54498, Germany","Piesport, Germany",€€€€,"Modern French, Creative",154439.22.00,146315.43.00,no,no
MIC-000007,ADM-000001,Restaurant Haerlin,"Neuer Jungfernstieg 9, Hamburg, 20354, Germany","Hamburg, Germany",€€€€,"Creative French, Classic Cuisine",165252.58.00,92626.44.00,sì,sì
MIC-000008,ADM-000001,The Table Kevin Fehling,"Shanghaiallee 15, Hamburg, 20457, Germany","Hamburg, Germany",€€€€,"Creative, International",486.37.00,90492.58.00,no,no
MIC-000009,ADM-000001,Waldhotel Sonnora,"Auf'm Eichelfeld 1, Dreis, 54518, Germany","Dreis, Germany",€€€€,Classic French,135161.42.00,156337.43.00,sì,sì
MIC-000010,ADM-000001,JAN,"Luisenstraße 27, Munich, 80333, Germany","Munich, Germany",€€€€,"Creative, Modern Cuisine",93842.18.00,24180.55.00,no,no
MIC-000011,ADM-000001,Restaurant Bareiss,"Hermine-Bareiss-Weg 1, Baiersbronn, 72270, Germany","Baiersbronn, Germany",€€€€,Classic French,54505.56.00,86812.05.00,sì,sì
MIC-000012,ADM-000001,Rutz,"Chausseestraße 8, Berlin, 10115, Germany","Berlin, Germany",€€€€,"Modern Cuisine, Creative",64360.47.00,88110.27.00,no,no
MIC-000013,ADM-000001,Maaemo,"Dronning Eufemias gate 23, Oslo, 0194, Norway","Oslo, Norway",€€€€,"Modern Cuisine, Creative",126449.23.00,151313.53.00,sì,sì
MIC-000014,ADM-000001,RE-NAA,"Nordbøgata 8, Stavanger, 4006, Norway","Stavanger, Norway",€€€€,"Creative, Seafood",121812.27.00,162386.25.00,no,no
MIC-000015,ADM-000001,Frantzén,"Klara Norra Kyrkogata 26, Stockholm, 111 22, Sweden","Stockholm, Sweden",€€€€,Creative,9977.35.00,55753.33.00,sì,sì
MIC-000016,ADM-000001,noma,"Refshalevej 96, Copenhagen, 1432, Denmark","Copenhagen, Denmark",€€€€,Creative,101749.04.00,113924.26.00,no,no
MIC-000017,ADM-000001,Jordnær,"Gentoftegade 29, Gentofte, 2820, Denmark","Gentofte, Denmark",€€€€,Creative,90217.47.00,124745.16.00,sì,sì
MIC-000018,ADM-000001,Geranium,"Per Henrik Lings Allé 4, Parken National Stadium, Copenhagen, 2100 Ø, Denmark","Copenhagen, Denmark",€€€€,"Creative, Contemporary",95361.11.00,11779.32.00,no,no
MIC-000019,ADM-000001,Hiša Franko,"Staro selo 1, Kobarid, 5222, Slovenia","Kobarid, Slovenia",€€€€,"Creative, Regional Cuisine",89719.02.00,41262.01.00,sì,sì
MIC-000020,ADM-000001,Trèsind Studio,"St. Regis Gardens, The Palm Jumeirah, Dubai",Dubai,$$$$,Indian,23241.16.00,1940.32.00,no,no
MIC-000021,ADM-000001,Grande Étoile,"Bastionstraße 16, Düsseldorf, 40213, Germany","Düsseldorf, Germany",€€€,"Modern Cuisine, French",12923.59.00,3744.54.00,sì,sì
MIC-000022,ADM-000001,Goldener Engel,"Bachenstraße 27, Ihringen, 79241, Germany","Ihringen, Germany",€€,Regional Cuisine,107875.16.00,7377.16.00,no,no
MIC-000023,ADM-000001,Chiemgauhof,"Julius-Exter-Promenade 21, Übersee, 83236, Germany","Übersee, Germany",€€€,"Farm to table, Regional Cuisine",79303.04.00,141184.01.00,sì,sì
MIC-000024,ADM-000001,Chefs Atelier,"Im Löwental 60A, Essen, 45239, Germany","Essen, Germany",€€€€,"Creative, Seasonal Cuisine",165961.49.00,63992.04.00,no,no
MIC-000025,ADM-000001,FZN by Björn Frantzén,"Atlantis The Palm Jumeirah, Crescent Road, Dubai",Dubai,$$$$,Modern Cuisine,19760.19.00,22031.17.00,sì,sì
MIC-000026,ADM-000001,Boury,"Rumbeeksesteenweg 300, Roeselare, 8800, Belgium","Roeselare, Belgium",€€€€,Creative French,23402.41.00,156291.06.00,no,no
MIC-000027,ADM-000001,Zilte,"Hanzestedenplaats 5, Antwerpen, 2000, Belgium","Antwerpen, Belgium",€€€€,Creative,67463.03.00,3864.48.00,sì,sì
MIC-000028,ADM-000001,Le Louis XV - Alain Ducasse à l'Hôtel de Paris,"Place du Casino, Monaco, 98000, France","Monaco, France",€€€€,"Mediterranean Cuisine, Modern Cuisine",71191.07.00,123240.19.00,no,no
MIC-000029,ADM-000001,L'Ambroisie,"9 place des Vosges, Paris, 75004, France","Paris, France",€€€€,Classic Cuisine,60755.35.00,14306.14.00,sì,sì
MIC-000030,ADM-000001,Flocons de Sel,"1775 route du Leutaz, Le Leutaz, Megève, 74120, France","Megève, France",€€€€,Modern Cuisine,99499.45.00,138418.24.00,no,no
MIC-000031,ADM-000001,Épicure,"Le Bristol, 112 rue du Faubourg-Saint-Honoré, Paris, 75008, France","Paris, France",€€€€,Modern Cuisine,52434.58.00,145335.03.00,sì,sì
MIC-000032,ADM-000001,Arpège,"84 rue de Varenne, Paris, 75007, France","Paris, France",€€€€,Creative,52837.27.00,142673.38.00,no,no
MIC-000033,ADM-000001,Le Pré Catelan,"Route de Suresnes - bois de Boulogne, Paris, 75016, France","Paris, France",€€€€,"Creative, Contemporary",41788.22.00,144037.34.00,sì,sì
MIC-000034,ADM-000001,Le Cinq,"Four Seasons Hotel George V, 31 avenue George-V, Paris, 75008, France","Paris, France",€€€€,Modern Cuisine,50145.32.00,144841.24.00,no,no
MIC-000035,ADM-000001,Le Petit Nice,"17 rue des Braves (Anse de Maldormé), Marseille, 13007, France","Marseille, France",€€€€,Seafood,58679.44.00,46752.25.00,sì,sì
MIC-000036,ADM-000001,Kei,"5 rue Coq-Héron, Paris, 75001, France","Paris, France",€€€€,"Modern Cuisine, Creative",57049.27.00,144113.47.00,no,no
MIC-000037,ADM-000001,L'Oustau de Baumanière,"500 route de Baumanière, Les Baux-de-Provence, 13520, France","Les Baux-de-Provence, France",€€€€,Creative,131231.08.00,123420.39.00,sì,sì
MIC-000038,ADM-000001,Plénitude - Cheval Blanc Paris,"8 quai du Louvre, Paris, 75001, France","Paris, France",€€€€,Creative,57028.28.00,143183.48.00,no,no
MIC-000039,ADM-000001,AM par Alexandre Mazzia,"9 rue François-Rocca, Marseille, 13008, France","Marseille, France",€€€€,Creative,64377.05.00,45061.24.00,sì,sì
MIC-000040,ADM-000001,Pic,"285 avenue Victor-Hugo, Valence, 26000, France","Valence, France",€€€€,Creative,147597.21.00,152991.55.00,no,no
MIC-000041,ADM-000001,Maison Lameloise,"36 place d'Armes, Chagny, 71150, France","Chagny, France",€€€€,Modern Cuisine,125502.37.00,151352.25.00,sì,sì
MIC-000042,ADM-000001,Le Coquillage,"Lieu-dit Le Buot, Saint-Méloir-des-Ondes, 35350, France","Saint-Méloir-des-Ondes, France",€€€€,"Creative, Seafood",-145188.12.00,107225.34.00,no,no
MIC-000043,ADM-000001,Restaurant Marcon,"Larsiallas, 18 chemin de Brard, Saint-Bonnet-le-Froid, 43290, France","Saint-Bonnet-le-Froid, France",€€€€,Creative,72381.59.00,23157.14.00,sì,sì
MIC-000044,ADM-000001,Pierre Gagnaire,"6 rue Balzac, Paris, 75008, France","Paris, France",€€€€,Creative,50060.13.00,145593.31.00,no,no
MIC-000045,ADM-000001,La Vague d'Or - Cheval Blanc St-Tropez,"Plage de la Bouillabaisse, Saint-Tropez, 83990, France","Saint-Tropez, France",€€€€,Creative,104364.55.00,44473.49.00,sì,sì
MIC-000046,ADM-000001,Christopher Coutanceau,"Plage de la Concurrence, La Rochelle, 17000, France","La Rochelle, France",€€€€,"Seafood, Modern Cuisine",-26654.01.00,25939.49.00,no,no
MIC-000047,ADM-000001,Troisgros - Le Bois sans Feuilles,"728 route de Villerest, Ouches, 42155, France","Ouches, France",€€€€,Creative,1656.56.00,63.13.00,sì,sì
